ProductID,ProductName,Category,Country,Revenue,Quantity,Price,DateSold,CustomerName,Description,Rating,Discount,IsActive,Notes
1,Headphones ,Audio,USA,,63,789.911,23/10/2023, Customer 1 - Regular,"This is a product description with some text to split and manipulate. Delimiter:comma,another;part",3.6,10,FALSE,Another note: value=45.67
2,Laptop,Electronics,Australia,4756.044,17,607.68,23/11/2020,Customer 2 - VIP,"This is a product description with some text to split and manipulate. Delimiter:comma,another;part",2.9,0,FALSE,Empty note
3,Tablet,Accessories,Japan,3673.375,73,123.121,04/03/2020,Customer 3 - Regular,"This is a product description with some text to split and manipulate. Delimiter:comma,another;part",3.5,15,FALSE,Special chars !@#
4,Tablet,Accessories,Japan,3673.375,73,123.121,04/03/2020,Customer 3 - Regular,"This is a product description with some text to split and manipulate. Delimiter:comma,another;part",3.5,15,FALSE,Special chars !@#
5, Printer,Electronics,Germany,822.297,84,864.88,04/10/2024,Customer 5 - Regular,"This is a product description with some text to split and manipulate. Delimiter:comma,another;part",2.9,0,FALSE,Note with numbers 123 and text
6,Headphones,Audio,Germany,822.171,77,923.73,29/05/2023, Customer 6 - New,"This is a product description with some text to split and manipulate. Delimiter:comma,another;part",4,0,TRUE,Another note: value=45.67
7,Camera,Electronics,Canada,337.51,92,471.041,20/10/2023,Customer 7 - VIP,"This is a product description with some text to split and manipulate. Delimiter:comma,another;part",4.5,0,TRUE,Note with numbers 123 and text
8, Laptop,Office,Canada,4337.57,29,486.03,19/05/2024,Customer 8 - Regular,"This is a product description with some text to split and manipulate. Delimiter:comma,another;part",2.7,5,FALSE,Empty note
9,Keyboard,Electronics,India,3025.52,13,919.27,16/06/2022, Customer 9 - Regular,"This is a product description with some text to split and manipulate. Delimiter:comma,another;part",1.2,5,FALSE,Note with numbers 123 and text
10,Laptop,Accessories,France,3554.96,46,591.2,12/03/2020,Customer 10 - New,"This is a product description with some text to split and manipulate. Delimiter:comma,another;part",1.6,5,TRUE,Special chars !@#
11,Tablet,Accessories,Australia,,35,42.522,15/09/2020,Customer 11 - Regular,"This is a product description with some text to split and manipulate. Delimiter:comma,another;part",1.1,20,FALSE,Note with numbers 123 and text
12,Mouse ,Accessories,Australia,4851.054,6,913.62,17/05/2020,Customer 12 - New,"This is a product description with some text to split and manipulate. Delimiter:comma,another;part",3.6,15,FALSE,Another note: value=45.67
13,Laptop,Audio,Japan,4170.59,82,255.74,28/04/2021,Customer 13 - Regular,"This is a product description with some text to split and manipulate. Delimiter:comma,another;part",2.3,15,TRUE,Another note: value=45.67
14,Smartphone,Accessories,USA,1101.08,69,581.86,13/05/2024,Customer 14 - VIP,"This is a product description with some text to split and manipulate. Delimiter:comma,another;part",3.2,10,FALSE,Another note: value=45.67
15,Headphones ,Audio,Brazil,950.035,47,173.86,14/08/2023, Customer 15 - VIP,"This is a product description with some text to split and manipulate. Delimiter:comma,another;part",3,5,TRUE,Special chars !@#
16,Mouse,Accessories,Australia,4851.054,6,913.62,17/05/2020,Customer 12 - New,"This is a product description with some text to split and manipulate. Delimiter:comma,another;part",3.6,15,FALSE,Another note: value=45.67
17,Tablet,Accessories,Canada,1556,66,318.36,11/01/2022,Customer 17 - Regular,"This is a product description with some text to split and manipulate. Delimiter:comma,another;part",2.6,20,FALSE,Empty note
18, Mouse,Electronics,Japan,2647.5488,10,782.69,23/02/2022,Customer 18 - New,"This is a product description with some text to split and manipulate. Delimiter:comma,another;part",1.9,15,TRUE,Note with numbers 123 and text
19,Camera,Electronics,USA,2188.13,56,284.814,07/03/2023,Customer 19 - New,"This is a product description with some text to split and manipulate. Delimiter:comma,another;part",2.7,5,FALSE,Another note: value=45.67
20, Laptop,Office,Brazil,1491.58,30,227.9,07/03/2020,Customer 20 - Regular,"This is a product description with some text to split and manipulate. Delimiter:comma,another;part",1.8,10,TRUE,Special chars !@#
21,Camera,Imaging,UK,,5,220.55,24/05/2023,Customer 21 - VIP,"This is a product description with some text to split and manipulate. Delimiter:comma,another;part",4.4,5,TRUE,Note with numbers 123 and text
22,Headphones,Accessories,UK,740.49678,33,520.02,10/11/2020,Customer 22 - VIP,"This is a product description with some text to split and manipulate. Delimiter:comma,another;part",1.7,0,FALSE,Empty note
23,Monitor,Audio,India,1496.12,65,975.79,22/10/2023,Customer 23 - New,"This is a product description with some text to split and manipulate. Delimiter:comma,another;part",4.8,5,TRUE,Note with numbers 123 and text
24,Smartphone,Audio,Germany,1863.49,18,464.4,10/07/2022,Customer 24 - New,"This is a product description with some text to split and manipulate. Delimiter:comma,another;part",2.7,0,FALSE,Note with numbers 123 and text
25,Speaker,Audio,Canada,2307.55,96,561.73,29/01/2022,Customer 25 - New,"This is a product description with some text to split and manipulate. Delimiter:comma,another;part",4.4,0,TRUE,Special chars !@#
26,Monitor,Audio,China,3936.62,49,862.03,31/01/2022,Customer 26 - VIP,"This is a product description with some text to split and manipulate. Delimiter:comma,another;part",3.5,10,TRUE,Special chars !@#
27,Laptop,Imaging,USA,1038.39,11,539.72,28/06/2022,Customer 27 - VIP,"This is a product description with some text to split and manipulate. Delimiter:comma,another;part",3.9,15,FALSE,Another note: value=45.67
28,Laptop,Electronics,India,2595.46,85,192.62,11/04/2024,Customer 28 - VIP,"This is a product description with some text to split and manipulate. Delimiter:comma,another;part",4.1,5,TRUE,Another note: value=45.67
29,Camera,Electronics,Canada,2982.45,26,306.6,06/06/2020,Customer 29 - New,"This is a product description with some text to split and manipulate. Delimiter:comma,another;part",3,0,FALSE,Empty note
30,Headphones,Electronics,Canada,279.93,63,316.84,21/03/2023,Customer 30 - New,"This is a product description with some text to split and manipulate. Delimiter:comma,another;part",3.2,5,TRUE,Special chars !@#
31,Camera,Electronics,UK,,89,403.34,08/10/2020,Customer 31 - VIP,"This is a product description with some text to split and manipulate. Delimiter:comma,another;part",3.1,15,FALSE,Another note: value=45.67
32,Printer,Audio,Canada,894.09,86,432.52,20/12/2022,Customer 32  - New,"This is a product description with some text to split and manipulate. Delimiter:comma,another;part",3.4,15,FALSE,Another note: value=45.67
33,Mouse,Office,Australia,372.01,59,801.78,21/01/2022,Customer 33 - VIP,"This is a product description with some text to split and manipulate. Delimiter:comma,another;part",1.1,20,TRUE,Empty note
34,Speaker,Accessories,USA,4746.98,27,355.89,26/03/2022,Customer 34 - VIP,"This is a product description with some text to split and manipulate. Delimiter:comma,another;part",2.6,15,TRUE,Empty note
